full_path,path,class
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0000.jpg,my_dataset\dataset\cat_0000.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0001.jpg,my_dataset\dataset\cat_0001.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0002.jpg,my_dataset\dataset\cat_0002.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0003.jpg,my_dataset\dataset\cat_0003.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0004.jpg,my_dataset\dataset\cat_0004.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0005.jpg,my_dataset\dataset\cat_0005.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0006.jpg,my_dataset\dataset\cat_0006.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0007.jpg,my_dataset\dataset\cat_0007.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0008.jpg,my_dataset\dataset\cat_0008.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0009.jpg,my_dataset\dataset\cat_0009.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0010.jpg,my_dataset\dataset\cat_0010.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0011.jpg,my_dataset\dataset\cat_0011.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0012.jpg,my_dataset\dataset\cat_0012.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0013.jpg,my_dataset\dataset\cat_0013.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0014.jpg,my_dataset\dataset\cat_0014.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0015.jpg,my_dataset\dataset\cat_0015.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0016.jpg,my_dataset\dataset\cat_0016.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0017.jpg,my_dataset\dataset\cat_0017.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0018.jpg,my_dataset\dataset\cat_0018.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0019.jpg,my_dataset\dataset\cat_0019.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0020.jpg,my_dataset\dataset\cat_0020.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0021.jpg,my_dataset\dataset\cat_0021.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0022.jpg,my_dataset\dataset\cat_0022.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0023.jpg,my_dataset\dataset\cat_0023.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0024.jpg,my_dataset\dataset\cat_0024.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0025.jpg,my_dataset\dataset\cat_0025.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0026.jpg,my_dataset\dataset\cat_0026.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0027.jpg,my_dataset\dataset\cat_0027.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0028.jpg,my_dataset\dataset\cat_0028.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0029.jpg,my_dataset\dataset\cat_0029.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0030.jpg,my_dataset\dataset\cat_0030.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0031.jpg,my_dataset\dataset\cat_0031.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0032.jpg,my_dataset\dataset\cat_0032.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0033.jpg,my_dataset\dataset\cat_0033.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0034.jpg,my_dataset\dataset\cat_0034.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0035.jpg,my_dataset\dataset\cat_0035.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0036.jpg,my_dataset\dataset\cat_0036.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0037.jpg,my_dataset\dataset\cat_0037.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0038.jpg,my_dataset\dataset\cat_0038.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0039.jpg,my_dataset\dataset\cat_0039.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0040.jpg,my_dataset\dataset\cat_0040.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0041.jpg,my_dataset\dataset\cat_0041.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0042.jpg,my_dataset\dataset\cat_0042.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0043.jpg,my_dataset\dataset\cat_0043.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0044.jpg,my_dataset\dataset\cat_0044.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0045.jpg,my_dataset\dataset\cat_0045.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0046.jpg,my_dataset\dataset\cat_0046.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0047.jpg,my_dataset\dataset\cat_0047.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0048.jpg,my_dataset\dataset\cat_0048.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0049.jpg,my_dataset\dataset\cat_0049.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0050.jpg,my_dataset\dataset\cat_0050.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0051.jpg,my_dataset\dataset\cat_0051.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0052.jpg,my_dataset\dataset\cat_0052.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0053.jpg,my_dataset\dataset\cat_0053.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0054.jpg,my_dataset\dataset\cat_0054.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0055.jpg,my_dataset\dataset\cat_0055.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0056.jpg,my_dataset\dataset\cat_0056.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0057.jpg,my_dataset\dataset\cat_0057.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0058.jpg,my_dataset\dataset\cat_0058.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0059.jpg,my_dataset\dataset\cat_0059.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0060.jpg,my_dataset\dataset\cat_0060.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0061.jpg,my_dataset\dataset\cat_0061.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0062.jpg,my_dataset\dataset\cat_0062.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0063.jpg,my_dataset\dataset\cat_0063.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0064.jpg,my_dataset\dataset\cat_0064.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0065.jpg,my_dataset\dataset\cat_0065.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0066.jpg,my_dataset\dataset\cat_0066.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0067.jpg,my_dataset\dataset\cat_0067.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0068.jpg,my_dataset\dataset\cat_0068.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0069.jpg,my_dataset\dataset\cat_0069.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0070.jpg,my_dataset\dataset\cat_0070.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0071.jpg,my_dataset\dataset\cat_0071.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0072.jpg,my_dataset\dataset\cat_0072.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0073.jpg,my_dataset\dataset\cat_0073.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0074.jpg,my_dataset\dataset\cat_0074.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0075.jpg,my_dataset\dataset\cat_0075.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0076.jpg,my_dataset\dataset\cat_0076.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0077.jpg,my_dataset\dataset\cat_0077.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0078.jpg,my_dataset\dataset\cat_0078.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0079.jpg,my_dataset\dataset\cat_0079.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0080.jpg,my_dataset\dataset\cat_0080.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0081.jpg,my_dataset\dataset\cat_0081.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0082.jpg,my_dataset\dataset\cat_0082.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0083.jpg,my_dataset\dataset\cat_0083.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0084.jpg,my_dataset\dataset\cat_0084.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0085.jpg,my_dataset\dataset\cat_0085.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0086.jpg,my_dataset\dataset\cat_0086.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0087.jpg,my_dataset\dataset\cat_0087.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0088.jpg,my_dataset\dataset\cat_0088.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0089.jpg,my_dataset\dataset\cat_0089.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0090.jpg,my_dataset\dataset\cat_0090.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0091.jpg,my_dataset\dataset\cat_0091.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0092.jpg,my_dataset\dataset\cat_0092.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0093.jpg,my_dataset\dataset\cat_0093.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0094.jpg,my_dataset\dataset\cat_0094.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0095.jpg,my_dataset\dataset\cat_0095.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0096.jpg,my_dataset\dataset\cat_0096.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0097.jpg,my_dataset\dataset\cat_0097.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0098.jpg,my_dataset\dataset\cat_0098.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0099.jpg,my_dataset\dataset\cat_0099.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0100.jpg,my_dataset\dataset\cat_0100.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0101.jpg,my_dataset\dataset\cat_0101.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0102.jpg,my_dataset\dataset\cat_0102.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0103.jpg,my_dataset\dataset\cat_0103.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0104.jpg,my_dataset\dataset\cat_0104.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0105.jpg,my_dataset\dataset\cat_0105.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0106.jpg,my_dataset\dataset\cat_0106.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0107.jpg,my_dataset\dataset\cat_0107.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0108.jpg,my_dataset\dataset\cat_0108.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0109.jpg,my_dataset\dataset\cat_0109.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0110.jpg,my_dataset\dataset\cat_0110.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0111.jpg,my_dataset\dataset\cat_0111.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0112.jpg,my_dataset\dataset\cat_0112.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0113.jpg,my_dataset\dataset\cat_0113.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0114.jpg,my_dataset\dataset\cat_0114.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0115.jpg,my_dataset\dataset\cat_0115.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0116.jpg,my_dataset\dataset\cat_0116.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0117.jpg,my_dataset\dataset\cat_0117.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0118.jpg,my_dataset\dataset\cat_0118.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0119.jpg,my_dataset\dataset\cat_0119.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0120.jpg,my_dataset\dataset\cat_0120.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0121.jpg,my_dataset\dataset\cat_0121.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset\dataset\cat_0122.jpg,my_dataset\dataset\cat_0122.jpg,cat
