full_path,path,class
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2134.jpg,my_dataset2\dataset\2134.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8520.jpg,my_dataset2\dataset\8520.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8826.jpg,my_dataset2\dataset\8826.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2746.jpg,my_dataset2\dataset\2746.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4771.jpg,my_dataset2\dataset\4771.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7640.jpg,my_dataset2\dataset\7640.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9265.jpg,my_dataset2\dataset\9265.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9123.jpg,my_dataset2\dataset\9123.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\3416.jpg,my_dataset2\dataset\3416.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\1392.jpg,my_dataset2\dataset\1392.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\6943.jpg,my_dataset2\dataset\6943.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\1048.jpg,my_dataset2\dataset\1048.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9398.jpg,my_dataset2\dataset\9398.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5445.jpg,my_dataset2\dataset\5445.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4001.jpg,my_dataset2\dataset\4001.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4725.jpg,my_dataset2\dataset\4725.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4612.jpg,my_dataset2\dataset\4612.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9170.jpg,my_dataset2\dataset\9170.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9128.jpg,my_dataset2\dataset\9128.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\3918.jpg,my_dataset2\dataset\3918.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2806.jpg,my_dataset2\dataset\2806.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2396.jpg,my_dataset2\dataset\2396.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\1851.jpg,my_dataset2\dataset\1851.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5955.jpg,my_dataset2\dataset\5955.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4523.jpg,my_dataset2\dataset\4523.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9002.jpg,my_dataset2\dataset\9002.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7678.jpg,my_dataset2\dataset\7678.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7503.jpg,my_dataset2\dataset\7503.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9353.jpg,my_dataset2\dataset\9353.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\338.jpg,my_dataset2\dataset\338.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5726.jpg,my_dataset2\dataset\5726.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2352.jpg,my_dataset2\dataset\2352.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\6657.jpg,my_dataset2\dataset\6657.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5700.jpg,my_dataset2\dataset\5700.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\1224.jpg,my_dataset2\dataset\1224.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8184.jpg,my_dataset2\dataset\8184.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4585.jpg,my_dataset2\dataset\4585.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9617.jpg,my_dataset2\dataset\9617.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8692.jpg,my_dataset2\dataset\8692.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2039.jpg,my_dataset2\dataset\2039.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7795.jpg,my_dataset2\dataset\7795.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7306.jpg,my_dataset2\dataset\7306.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5338.jpg,my_dataset2\dataset\5338.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\6011.jpg,my_dataset2\dataset\6011.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9878.jpg,my_dataset2\dataset\9878.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5671.jpg,my_dataset2\dataset\5671.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7686.jpg,my_dataset2\dataset\7686.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4077.jpg,my_dataset2\dataset\4077.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2932.jpg,my_dataset2\dataset\2932.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9097.jpg,my_dataset2\dataset\9097.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\862.jpg,my_dataset2\dataset\862.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4045.jpg,my_dataset2\dataset\4045.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8928.jpg,my_dataset2\dataset\8928.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5974.jpg,my_dataset2\dataset\5974.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7463.jpg,my_dataset2\dataset\7463.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5034.jpg,my_dataset2\dataset\5034.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4569.jpg,my_dataset2\dataset\4569.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\3037.jpg,my_dataset2\dataset\3037.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\50.jpg,my_dataset2\dataset\50.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7287.jpg,my_dataset2\dataset\7287.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\74.jpg,my_dataset2\dataset\74.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8512.jpg,my_dataset2\dataset\8512.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\3842.jpg,my_dataset2\dataset\3842.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\699.jpg,my_dataset2\dataset\699.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\322.jpg,my_dataset2\dataset\322.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5913.jpg,my_dataset2\dataset\5913.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\7692.jpg,my_dataset2\dataset\7692.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9795.jpg,my_dataset2\dataset\9795.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5373.jpg,my_dataset2\dataset\5373.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\4940.jpg,my_dataset2\dataset\4940.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5163.jpg,my_dataset2\dataset\5163.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\5451.jpg,my_dataset2\dataset\5451.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\9022.jpg,my_dataset2\dataset\9022.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8284.jpg,my_dataset2\dataset\8284.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\2870.jpg,my_dataset2\dataset\2870.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8467.jpg,my_dataset2\dataset\8467.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\6717.jpg,my_dataset2\dataset\6717.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\8950.jpg,my_dataset2\dataset\8950.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\962.jpg,my_dataset2\dataset\962.jpg,cat
C:\Users\Professional\Desktop\lab python\my_dataset2\dataset\6675.jpg,my_dataset2\dataset\6675.jpg,cat
